apellido_paterno,apellido_materno,nombre,fecha_nacimiento,sexo,producto,saldo,telefono,estado,municipio,colonia,calle,numero
HERNANDEZ,TEJEDA,SOFIA,1966-04-16,MUJER,credito refaccionario,54581,3754945306,Yucatán,Amealco de Bonfil,San Cayetano,Villa Montaña,93
GARCIA,SOTO,SANTIAGO,1986-08-24,HOMBRE,prestamo personal,4759,9041175377,Aguascalientes,Pinal de Amoles,Colinas del Rio,Villas de Don Antonio,89
MARTINEZ,LOERA,MARIA JOSE,1992-01-17,MUJER,credito avio,103515,1644748874,Campeche,Arroyo Seco,Olivares Santana,Los Ángeles,37
LOPEZ,AGUERO,MATEO,1961-12-19,HOMBRE,debito,11833,5768274615,Aguascalientes,Cadereyta de Montes,Las Brisas,Capittala,23
GONZALEZ,FRAUSTO,REGINA,1977-10-19,MUJER,prestamo personal,8734,0107798226,Sonora,Colón,Ramon Romo Franco,Recinto de la Macarena,7
PEREZ,TAMAYO,SEBASTIAN,1988-06-04,HOMBRE,credito refaccionario,64818,8142320409,Baja California,Corregidora,Colinas de San Ignacio,La Soledad,41
RODRIGUEZ,COTA,VALENTINA,1993-07-04,MUJER,credito refaccionario,57998,9216710466,Veracruz,Ezequiel Montes,La Fundición,Los Naranjos,21
SANCHEZ,VIRGEN,LEONARDO,1991-11-30,HOMBRE,credito hipotecario,930072,5425354723,Tabasco,Huimilpan,Fundición II,Villa de Nuestra Señora de La Asunción Sector Guadalupe,78
RAMIREZ,REA,CAMILA,1999-11-04,MUJER,credito nomina,1557,5626326326,Campeche,Jalpan de Serra,Los Sauces,Villa Teresa,24
CRUZ,BEDOLLA,EMILIANO,1994-09-14,HOMBRE,credito nomina,4872,3993660846,Colima,Landa de Matamoros,Línea de Fuego,Cartagena 1947,49
GOMEZ,LEIJA,XIMENA,1988-04-02,MUJER,credito hipotecario,384296,6971348851,Puebla,El Marqués,Buenos Aires,Villas de La Convención,67
FLORES,REYNOSO,MATIAS,1967-04-17,HOMBRE,credito refaccionario,85905,2735380433,Zacatecas,Pedro Escobedo,Circunvalación Norte,Lomas de La Asunción,3
MORALES,BAÑOS,VICTORIA,2001-07-06,MUJER,debito,8154,3807064862,Tlaxcala,Peñamiller,Las Arboledas,Villa de Nuestra Señora de La Asunción Sector Encino,SN
VAZQUEZ,VILLA,DIEGO,1987-12-13,HOMBRE,credito departamental,3819,1478409911,Tabasco,Querétaro,Villas de San Francisco,Villa de Nuestra Señora de La Asunción Sector Alameda,47
JIMENEZ,ARANA,RENATA,1972-07-09,MUJER,credito avio,195301,6009145594,Zacatecas,San Joaquín,Villas de La Universidad,San José de Pozo Bravo,98
REYES,BAILON,DANIEL,1957-09-26,HOMBRE,credito departamental,6880,6984919299,Oaxaca,San Juan del Río,El Sol,Villa de Nuestra Señora de La Asunción Sector San Marcos,SN
DIAZ,AGUILA,MARIA FERNANDA,1976-09-04,MUJER,credito hipotecario,778655,2355218078,Hidalgo,Tequisquiapan,Gremial,Villa de Nuestra Señora de La Asunción Sector Estación,6
TORRES,PALAFOX,MIGUEL ANGEL,1992-11-01,HOMBRE,prestamo personal,6383,5274242924,Chiapas,Tolimán,Industrial,Las Plazas,34
GUTIERREZ,BEJARANO,VALERIA,1985-02-28,MUJER,credito nomina,3250,3227154932,México,Acambay de Ruíz Castañeda,Altavista,El Rosedal,89
RUIZ,CARREÑO,ALEXANDER,1991-05-09,HOMBRE,credito nomina,4953,5911266344,Zacatecas,Acolman,Curtidores,Natura,SN
MENDOZA,ZAMBRANO,NATALIA,1991-07-29,MUJER,credito refaccionario,90337,3212469799,Hidalgo,Aculco,La Concordia,Montebello Della Stanza,SN
AGUILAR,GUADALUPE,ALEJANDRO,1958-05-28,HOMBRE,credito,15941,1600646863,San Luis Potosí,Almoloya de Alquisiras,Miravalle,Villa Notre Dame,SN
MENDEZ,JULIAN,ISABELLA,1999-07-12,MUJER,credito,18240,8270297489,Morelos,Almoloya de Juárez,Panorama,Privada Guadalupe,58
MORENO,MERIDA,GAEL,1989-05-01,HOMBRE,credito nomina,2177,3369721485,México,Almoloya del Río,Residencial Guadalupe,Rinconada Pozo Bravo,14
ORTIZ,CARRASCO,ROMINA,1970-01-10,MUJER,credito nomina,1077,8340561835,Coahuila,Amanalco,Colinas del Poniente,Pozo Bravo Sur,24
JUAREZ,CASTAÑON,JESUS,1973-06-02,HOMBRE,credito hipotecario,353951,2997897505,Tlaxcala,Amatepec,Bugambilias,Villa Loma Dorada,SN
CASTILLO,CALVO,DANIELA,1995-05-21,MUJER,credito departamental,3330,2509578333,Jalisco,Amecameca,Del Carmen,Jardines de Montebello,SN
ALVAREZ,CASIMIRO,ANGEL,1988-03-10,HOMBRE,credito avio,87781,4894063332,Colima,Apaxco,La Fe,Villas del Río,16
ROMERO,CANCHE,ALEXA,2002-05-16,MUJER,prestamo personal,5331,1119858365,Yucatán,Atenco,México,El Puertecito,46
RAMOS,AGUILA,DAVID,1968-01-06,HOMBRE,credito nomina,4802,8360650043,Guanajuato,Atizapán,Primavera,Rinconada del Puertecito,39
RIVERA,SIMON,ANA SOFIA,1968-10-14,MUJER,credito refaccionario,65279,4642144311,Coahuila,Atizapán de Zaragoza,San Pablo,Bosques del Prado Norte,14
CHAVEZ,BARRIOS,EMMANUEL,1959-12-21,HOMBRE,credito departamental,7536,3055546633,Baja California,Atlacomulco,Guadalupe,Sartenejo,88
DE LA CRUZ,DE JESUS,ANDREA,1989-11-25,MUJER,credito refaccionario,60965,4924735768,Ciudad de Mexico,Atlautla,Heliodoro Garcia,Lomas del Campestre 1a Sección,95
DOMINGUEZ,MIRELES,LUIS ANGEL,1992-10-16,HOMBRE,prestamo personal,8754,8620145030,Baja California Sur,Axapusco,Gómez,Bosques del Prado Sur,39
GUZMAN,ALEJANDRO,MARIA GUADALUPE,1988-06-03,MUJER,credito hipotecario,765862,1845416998,Zacatecas,Ayapango,Moderno,El Roble,16
VELAZQUEZ,ZAMARRIPA,RODRIGO,1976-04-11,HOMBRE,credito refaccionario,77253,5920831102,Nuevo León,Calimaya,Valle del Rio San Pedro,Fátima,88
SANTIAGO,GALVAN,MELISSA,1958-09-17,MUJER,credito departamental,2305,6344039188,Aguascalientes,Capulhuac,Guadalupe Posada,Independencia de México,51
HERRERA,MACEDO,FERNANDO,1996-09-27,HOMBRE,credito refaccionario,56456,6772705914,Ciudad de Mexico,Coacalco de Berriozábal,San Marcos,Nueva Rinconada,83
CASTRO,ALEMAN,FERNANDA,1986-12-07,MUJER,prestamo personal,2503,4468530543,Yucatán,Coatepec Harinas,San Marcos,Primo Verdad,27
VARGAS,LAZCANO,MAXIMILIANO,1991-12-03,HOMBRE,credito departamental,8614,9212152110,Puebla,Cocotitlán,San Marcos,San José del Arenal,85
MEDINA,GUILLEN,SAMANTHA,1994-01-18,MUJER,credito refaccionario,70669,6253671347,Tlaxcala,Coyotepec,Modelo,Unidad Ganadera,SN
ROJAS,LIMON,DYLAN,1967-08-02,HOMBRE,credito avio,233599,0141435208,Nuevo León,Cuautitlán,Residencial del Valle I,San Xavier,98
MUÑOZ,FERNANDEZ,AITANA,1987-07-01,MUJER,credito refaccionario,77524,5944961490,Baja California Sur,Chalco,Residencial del Valle II,Residencial del Real,88
LUNA,DE LA ROSA,JOSE ANGEL,2002-03-22,HOMBRE,credito,22971,5252230213,Veracruz,Chapa de Mota,La Herradura,Puerta Navarra,SN
CONTRERAS,VITE,ELIZABETH,1988-04-06,MUJER,credito avio,273431,7116999388,Tamaulipas,Chapultepec,Club Campestre,Residencial Campestre Club de Golf,80
BAUTISTA,GRANDE,TADEO,1987-04-28,HOMBRE,credito departamental,6615,5573805366,Ciudad de Mexico,Chiautla,Jardines del Campestre,Palma Real,34
SALAZAR,ESPINDOLA,YAMILETH,2001-10-15,MUJER,credito refaccionario,90727,2699218463,San Luis Potosí,Chicoloapan,Los Vergeles,Muralia,97
ORTEGA,VERA,JOSE LUIS,1962-04-04,HOMBRE,debito,6938,9068659563,Tamaulipas,Chiconcuac,Ciudad Universitaria,Agropecuario,SN
GUERRERO,BETANCOURT,GUADALUPE,1960-10-31,MUJER,credito refaccionario,65655,7867268292,Yucatán,Chimalhuacán,Rancho San Antonio,Centro Distribuidor de Básicos,SN
ESTRADA,BAEZ,GABRIEL,1990-12-03,HOMBRE,credito hipotecario,316316,6724434661,Zacatecas,Donato Guerra,Villas de Montenegro,La Rinconada,SN
CORTES,PADRON,MARIANA,1982-05-08,MUJER,debito,3170,3046949279,Baja California,Ecatepec de Morelos,Las Cavas,El Plateado,60
ESPINOZA,PUENTES,EDUARDO,1961-10-10,HOMBRE,credito hipotecario,229728,9690016014,Chiapas,Ecatzingo,La Enramada,Residencial Pulgas Pandas Norte,53
SOTO,PARADA,ANA VICTORIA,1965-04-16,MUJER,credito avio,201156,6377732068,Chihuahua,Huehuetoca,Talamantes Ponce,Residencial Pulgas Pandas Sur,59
ALVARADO,LIZARRAGA,JUAN PABLO,1980-03-03,HOMBRE,credito nomina,2394,5335270542,Sonora,Hueypoxtla,Granjas del Campestre,Villas del Vergel,SN
LARA,BELLO,ANA PAULA,1966-04-18,MUJER,debito,11867,4787612339,Durango,Huixquilucan,Puerto las Hadas,Cerrada San Miguel,SN
CARRILLO,POLANCO,RAFAEL,1999-03-04,HOMBRE,prestamo personal,4454,5895502230,Chihuahua,Isidro Fabela,Valle del Campestre,Las Hadas,10
AVILA,HAU,FATIMA,1976-05-13,MUJER,credito,16667,3489597872,Sinaloa,Ixtapaluca,Trojes de Oriente,Morelos,5
CERVANTES,IÑIGUEZ,ISAAC,1964-04-29,HOMBRE,credito hipotecario,982131,1219880061,Morelos,Ixtapan de la Sal,Valle de las Trojes,Andrea,11
SILVA,OTERO,ABIGAIL,1976-02-25,MUJER,credito refaccionario,86592,5209606703,Guanajuato,Ixtapan del Oro,Villas de San Nicolás,Los Arcos,11
RIOS,NIEVES,SAMUEL,1961-03-24,HOMBRE,credito avio,254649,6724617575,Tlaxcala,Ixtlahuaca,San Telmo,Industrial,43
SANTOS,ASCENCIO,EMILY,2001-06-29,MUJER,debito,6926,7728080964,Oaxaca,Xalatlaco,La Paloma,La Estrella,73
MARQUEZ,PALMA,AXEL,1957-09-12,HOMBRE,prestamo personal,2117,3267835286,Oaxaca,Jaltenco,Barrio de Santiago,Macias Arellano,34
MEJIA,ABURTO,JULIETA,1981-02-04,MUJER,credito avio,175165,8546171154,Veracruz,Jilotepec,Villa de las Trojes,Trento,86
VEGA,JAIMES,JUAN CARLOS,1958-01-27,HOMBRE,credito departamental,6599,5515290854,Nuevo León,Jilotzingo,Valle de Santa Teresa,Nueva Andalucia Coto Residencial,75
SANDOVAL,TADEO,ALEJANDRA,1962-06-22,MUJER,prestamo personal,6489,9484555341,Veracruz,Jiquipilco,La Troje,Lomas del Cobano,97
DELGADO,CASTILLO,NICOLAS,1981-08-04,HOMBRE,credito refaccionario,77929,9014886372,Puebla,Jocotitlán,Trojes de Alonso,Buenavista,18
NUÑEZ,REYNA,ESMERALDA,1973-04-12,MUJER,prestamo personal,5423,9221278062,Nuevo León,Joquicingo,San Telmo Residencial,C.T.M.,24
IBARRA,BACA,EMILIO,1972-11-23,HOMBRE,debito,9794,4851470471,Sonora,Juchitepec,Santa Fe,La Higuerilla,41
SOLIS,MURILLO,VANESSA,1992-11-17,MUJER,credito departamental,7660,0807143943,Colima,Lerma,Aguascalientes 2000,Parras,SN
ROSAS,SANTANA,JOSE MANUEL,1989-03-02,HOMBRE,credito,23628,1020530174,Guanajuato,Malinalco,Las Trojes,El Cobano,63
LEON,CORONEL,ESTEFANIA,1994-01-29,MUJER,credito hipotecario,141733,2040835042,Guerrero,Melchor Ocampo,Misión del Campanario,Hacienda el Cobano,17
VALDEZ,NIETO,DAMIAN,1957-10-28,HOMBRE,credito hipotecario,937779,7123352596,Baja California,Metepec,Trojes de Cristal,Trojes del Cobano,SN
CAMPOS,ZAMARRIPA,EVELYN,1983-06-12,MUJER,prestamo personal,7198,0164990257,Nayarit,Mexicaltzingo,Trojes del Sol,Villas del Cobano,50
FERNANDEZ,FELICIANO,LEONEL,1984-01-22,HOMBRE,credito hipotecario,539988,0628001442,Nayarit,Morelos,Residencial Santa Clara,Alianza Ferrocarrilera,35
ROSALES,GASPAR,LUCIANA,1998-11-17,MUJER,credito hipotecario,248174,5726374656,Chihuahua,Naucalpan de Juárez,Misión de Santiago,Bosques del Prado Oriente,61
CAMACHO,ESPINDOLA,ELIAS,1973-06-14,HOMBRE,credito refaccionario,73980,1542262794,Sinaloa,Nezahualcóyotl,Andora Residencial,Francisco Guel Jimenez,SN
MALDONADO,CASANOVA,JIMENA,1975-08-28,MUJER,credito hipotecario,634596,4651977667,Colima,Nextlalpan,Cadaqués Residencial,Las Viñas INFONAVIT,SN
NAVA,BRIONES,RICARDO,1973-10-02,HOMBRE,credito,24542,2515590229,Puebla,Nicolás Romero,Valle del Campanario,Santa Anita 4a Sección,SN
VALENCIA,LUEVANO,MIRANDA,1967-01-20,MUJER,credito nomina,3863,1226991129,Guanajuato,Nopaltepec,Las Misiones,Santa Anita,81
NAVARRO,RIOS,ALEXIS,2001-10-31,HOMBRE,credito nomina,4875,1169521160,Guerrero,Ocoyoacac,Los Jarales,Santa Anita 2a Sección,5
CABRERA,MERINO,LUCIA,1971-09-22,MUJER,credito hipotecario,561619,2151137265,Coahuila,Ocuilan,Cerrada El Molino,El Maguey,73
ACOSTA,RIVAS,ADRIAN,1987-07-25,HOMBRE,credito refaccionario,62334,1688516774,Michoacán,El Oro,Valle Real,Las Cumbres,SN
MIRANDA,OLMOS,IVANNA,1994-07-09,MUJER,credito departamental,8870,2366468548,Quintana Roo,Otumba,Terzetto,Lic Benito Juárez,SN
PEÑA,ALBINO,MAURICIO,1976-10-28,HOMBRE,credito nomina,1203,5967875248,Ciudad de Mexico,Otzoloapan,Cerrada de La Misión,Nazario Ortiz Garza,4
PACHECO,OLIVERA,KIMBERLY,1996-05-24,MUJER,prestamo personal,1519,5816497951,Chihuahua,Otzolotepec,Cerrada del Valle,Rodolfo Landeros Gallegos,34
HUERTA,ORNELAS,ANTONIO,1974-06-27,HOMBRE,credito avio,171124,2382961759,Coahuila,Ozumba,Cerrada de la Mezquitera,S.T.E.M.A.,76
TREJO,YEPEZ,ITZAYANA,1981-12-11,MUJER,credito hipotecario,657346,7687886154,San Luis Potosí,Papalotla,Lomas del Campestre 2a Sección,Zona Militar,41
DE JESUS,ALATORRE,ALAN,1982-04-13,HOMBRE,credito refaccionario,79408,8245484832,Sonora,La Paz,Villas del Campestre,Villa Bonita,11
MOLINA,CEJA,SOFIA GUADALUPE,1982-04-29,MUJER,credito nomina,1981,0358118179,Puebla,Polotitlán,Los Calicantos,Lic Benito Palomino Dena,47
ANTONIO,AQUINO,JONATHAN,1962-04-11,HOMBRE,prestamo personal,7410,6245833975,Hidalgo,Rayón,Jardines de la Concepción,Anexo Benito Palomino Dena Cumbres II),47
CASTAÑEDA,DE LA CRUZ,CAROLINA,1995-11-16,MUJER,credito hipotecario,269164,3545510834,Jalisco,San Antonio la Isla,Los Bosques,La Florida l,56
SALAS,SEGUNDO,FRANCISCO,1964-04-02,HOMBRE,prestamo personal,6904,9064208074,Quintana Roo,San Felipe del Progreso,Rinconada los Bosques,La Florida ll,29
MEZA,NAVARRO,DANNA SOFIA,1960-09-28,MUJER,credito avio,212013,2339356995,Hidalgo,San Martín de las Pirámides,La Perla Norte,Claustros Loma Dorada,26
ROBLES,GRANDE,CARLOS,1989-07-22,HOMBRE,prestamo personal,5296,6130552588,Michoacán,San Mateo Atenco,Arroyo El Molino,Cumbres III,7
FUENTES,ROBLEDO,ALONDRA,1991-10-29,MUJER,credito refaccionario,62945,2910694859,Nayarit,San Simón de Guerrero,Galerías,Lomas de Bellavista,67
RANGEL,BENITEZ,ANGEL GABRIEL,1966-10-02,HOMBRE,credito refaccionario,50929,8352858623,Morelos,Santo Tomás,Residencial Altaria,Lomas de las Fuentes,37
PADILLA,PARTIDA,ARANZA,1978-10-27,MUJER,credito refaccionario,69279,8849911841,Guerrero,Soyaniquilpan de Juárez,Constitución,Colinas de Oriente,SN
OROZCO,HINOJOSA,CRISTIAN,1969-11-06,HOMBRE,credito avio,172104,8043850393,Colima,Sultepec,Libertad,Vista de las Cumbres,62
VALENZUELA,ANGUIANO,EMMA,1961-03-26,MUJER,credito refaccionario,82678,9880732081,México,Tecámac,Pozo Bravo Norte,Villa Montaña,94
AYALA,ENRIQUEZ,JAVIER,1961-05-15,HOMBRE,credito,21101,6651993788,Zacatecas,Tejupilco,Soberana Convención Revolucionaria,Villas de Don Antonio,SN
CARDENAS,ARROYO,MARIA,1997-05-26,MUJER,debito,11007,9724397361,Baja California,Temamatla,San Cayetano,Los Ángeles,60
ZUÑIGA,BARRIOS,JOSUE,1983-08-22,HOMBRE,prestamo personal,3013,2208324998,Aguascalientes,Temascalapa,Colinas del Rio,Capittala,50
AGUIRRE,JAVIER,PAULINA,1985-02-12,MUJER,debito,6997,7551471144,México,Temascalcingo,Olivares Santana,Recinto de la Macarena,20
SERRANO,MEDRANO,JOSE ANTONIO,1961-01-03,HOMBRE,prestamo personal,9570,6457446990,Nayarit,Temascaltepec,Las Brisas,La Soledad,SN
MORA,MARIANO,GENESIS,1958-03-04,MUJER,credito avio,188430,9961951818,Nuevo León,Temoaya,Ramon Romo Franco,Los Naranjos,SN
MACIAS,ROJO,JOSE MIGUEL,1964-06-28,HOMBRE,debito,10176,6470152486,Sinaloa,Tenancingo,Colinas de San Ignacio,Villa de Nuestra Señora de La Asunción Sector Guadalupe,SN
